ECNS system logs created 07/01/2012
2012-09-03 15:36:10 electron logged out 
2012-09-03 15:36:14 gandavaa.d logged in 
2012-09-03 15:37:39 gandavaa.d logged out 
2012-09-03 15:37:42 gandavaa.d logged in 
2012-09-03 15:39:51 gandavaa.d logged out 
2012-09-03 15:39:55 electron logged in 
2012-09-03 15:43:41 electron logged out 
2012-09-03 15:43:47 gandavaa.d logged in 
2012-09-03 15:50:20 gandavaa.d logged out 
2012-09-03 15:50:23 gandavaa.d logged in 
2012-09-03 15:51:07 gandavaa.d logged out 
2012-09-03 15:51:13 electron logged in 
2012-09-03 15:51:19 electron logged out 
2012-09-03 15:51:27 test logged in 
2012-09-03 15:51:52 test logged out 
2012-09-03 15:51:54 gandavaa.d logged in 
2012-09-03 15:52:11 gandavaa.d logged out 
2012-09-03 15:52:25 electron logged in 
2012-09-03 15:52:39 electron logged out 
2012-09-03 15:54:25 gandavaa.d logged in 
2012-09-03 15:57:34 gandavaa.d logged out 
2012-09-03 15:57:40 testee logged in 
2012-09-03 15:58:37 testee logged out 
2012-09-03 15:58:49 electron logged in 
2012-09-03 16:02:37 electron logged out 
2012-09-03 16:02:40 gandavaa.d logged in 
2012-09-03 16:02:41 gandavaa.d logged out 
2012-09-03 16:03:07 electron logged in 
2012-09-03 16:29:22 electron logged out 
2012-09-03 16:29:24 gandavaa.d logged in 
2012-09-03 16:32:21 gandavaa.d logged out 
2012-09-03 16:32:24 gandavaa.d logged in 
2012-09-04 08:42:26 gandavaa.d logged in 
2012-09-04 08:55:19 gandavaa.d logged out 
2012-09-04 08:55:22 gandavaa.d logged in 
2012-09-04 09:11:32 gandavaa.d logged out 
2012-09-04 09:11:34 gandavaa.d logged in 
2012-09-04 10:39:11 gandavaa.d logged out 
2012-09-04 10:39:14 gandavaa.d logged in 
2012-09-04 10:39:54 gandavaa.d logged out 
2012-09-04 10:39:58 eng logged in 
2012-09-04 11:08:25 eng logged out 
2012-09-04 11:08:28 gandavaa.d logged in 
2012-09-04 13:32:37 gandavaa.d logged out 
2012-09-04 13:32:42 testee logged in 
2012-09-04 13:40:14 testee logged out 
2012-09-04 13:40:20 gandavaa.d logged in 
2012-09-04 15:44:42 gandavaa.d logged out 
2012-09-04 15:45:42 testee logged in 
2012-09-04 15:47:23 testee logged out 
2012-09-04 15:47:30 testee logged in 
2012-09-04 16:37:28 testee logged out 
2012-09-04 16:37:31 gandavaa.d logged in 
2012-09-05 10:29:45 gandavaa.d logged in 
2012-09-05 13:15:47 gandavaa.d logged in 
2012-09-05 13:20:29 gandavaa.d logged out 
2012-09-05 13:34:19 gandavaa.d logged in 
2012-09-05 13:34:21 gandavaa.d logged out 
2012-09-05 13:53:09 gandavaa.d logged in 
2012-09-05 13:53:12 gandavaa.d logged out 
2012-09-05 13:53:21 testee logged in 
2012-09-05 14:11:40 testee logged out 
2012-09-05 14:11:43 gandavaa.d logged in 
2012-09-05 15:39:40 gandavaa.d logged out 
2012-09-05 15:39:44 baax logged in 
2012-09-05 15:49:09 baax logged out 
2012-09-05 15:49:12 gandavaa.d logged in 
2012-09-05 15:49:53 gandavaa.d logged out 
2012-09-05 15:49:56 baax logged in 
2012-09-05 15:50:35 baax logged out 
2012-09-05 15:50:39 gandavaa.d logged in 
2012-09-05 16:03:53 gandavaa.d logged out 
2012-09-05 16:03:59 faster logged in 
2012-09-05 16:04:25 faster logged out 
2012-09-06 08:36:25 gandavaa.d logged in 
2012-09-06 13:56:02 gandavaa.d logged in 
2012-09-06 16:01:50 gandavaa.d logged in 
2012-09-07 10:29:35 gandavaa.d logged in 
2012-09-07 13:08:15 gandavaa.d logged in 
